Key,id,Spanish(es),Spanish (Ecuador)(es-EC),French(fr),English(en)
D000,0,"Hola, soy el Barón de Carondelet. Bienvenido a esta experiencia virtual, creada para conservar, compartir y promover el patrimonio cultural, histórico y político del Ecuador. Será un honor acompañarte en este recorrido del Palacio de Carondelet.","Imanalla, Barón de Carondelet kapani. Kay Virtual kawsayman allí shamushka kapay, kay Ecuador mamallaktapa kawsayta wakaychinkapak, shinallata Kawsay sapita, wiñaykawsayta, kapaktukukamaytapash hatunyachinkapakmi wiñarishka kan. Ñukapaka kikinta kumpankapak, Kay Carondelet Kapakapukpa wasipi puriykuykunapika, hatun kushikuymi kapan.","Bonjour, je suis le Baron de Carondelet. Bienvenue dans cette expérience virtuelle, conçue pour préserver, partager et promouvoir le patrimoine culturel, historique et politique de l'Équateur. Ce sera un honneur de vous accompagner dans cette visite du Palais de Carondelet."," Hello, I'm the Baron of Carondelet. Welcome to this virtual experience, designed to preserve, share, and promote Ecuador's cultural, historical, and political heritage. It will be an honor to accompany you on this tour of the Palace of Carondelet."
D001,1,"Este es el Palacio de Carondelet. Lleva aquí cientos de años y alberga la memoria de la República del Ecuador, desde la independencia hasta la actualidad.
¿Te da curiosidad que lleve mi nombre? Mueve el edificio y accede a los puntos interactivos para que conozcas más sobre esta emblemática edificación o, si deseas avanzar, da clic en el botón “Entrar”.     ","Kaymi kan Carondelet Kapakapukpa Wasi. Patsak yalli watakunatami kaypi tiyakun, kay ukupika Kishpirishka punchamanta, kunan punchakaman Ecuador mamallaktapak kawsaytami wakaychikun.
Imamanta ñukapa shutita charikta yachankapak munanki? Wasita kuyuchiy, chaypa kipa interactivos iñukunaman yaykuy, ashtawampacha kay hatun Kapakapukpa wasita riksinki, manakashpaka yallinkapak munakpika “Yaykuy” nishkapi llapi.","C'est le Palais de Carondelet. Il existe ici depuis des centaines d'années et abrite la mémoire de la République de l'Équateur depuis son indépendance jusqu'à nos jours.
Êtes-vous curieux de savoir pourquoi il porte mon nom? Déplacez le bâtiment et accédez aux points interactifs pour en savoir plus sur cette structure emblématique, ou si vous souhaitez continuer, cliquez sur le bouton « Entrer ».","This is the Palace of Carondelet. It has been here for hundreds of years and houses the memory of the Republic of Ecuador from its independence to the present day.
Are you curious that it bears my name? Move the building and access the interactive points to learn more about this emblematic structure. Alternatively, click the ""Enter"" button to explore further."
D002,2," Hemos puesto la alfombra roja para tu honrosa visita. Todo está listo para que puedas explorar la historia y memoria de esta, una de las edificaciones más importantes de Ecuador. A inicios del siglo XVII ya se gestaban operaciones de la Real Audiencia en este espacio. Fue ahí cuando llegué aquí y desde entonces, muchas cosas han sucedido. Ahora, tú, puedes averiguarlo.
","Kikinta kushikuywan chaskinkapak puka mantanata churashkanchik. Ecuador mamallaktapak hatun wasipa, Wiñaykawsayta, riksinkapakka tukuy paktami kan. Chunka kanchis patsakyarishka kallari watakunapika Real Audiencia nishkapa llamkaykunaka ñami kay hatun Wasi ukupika paktarin karka.
Chay pachapimi kay hatun wasiman chayamurkani, chay punchamantami shuk shuk ruraykuna paktarishkakuna. Kunanka, kikin tapuyta ushapankimi.","Nous avons déroulé le tapis rouge pour votre honorable visite. Tout est prêt pour que vous puissiez explorer l'histoire et la mémoire de cet édifice. Au début du XVIIe siècle, les opérations de la l'Audience Royale se déroulaient déjà dans cet espace. C'est à ce moment-là que je suis arrivé ici, et depuis, beaucoup de choses se sont produites. Maintenant vous pouvez le découvrir.","We've rolled out the red carpet for your honorable visit. Everything is ready for you to explore the history and memory of this, one of the most important buildings in Ecuador. At the beginning of the 17th century, the Royal Audience was already operating in this space. That's when I arrived here, and since then, many things have happened. Now you can find out."
D003,3," Estás a punto de ingresar al patio principal. Al frente encontrarás unas gradas que te llevarán a rendir honores a la bandera. En el ala norte podrás explorar la pileta y en el ala sur, podrás acceder al Museo Permanente. La edificación, como la ves ahora, fue remodelada entre 1956 y 1960 durante el gobierno de Camilo Ponce Enríquez.
","kaymi kan Samana kuska. Chimpapurapi chakanakunatami tarikripanki, chaypika unanchatami sumaychayta paktachinami kanki. Chinchaysuyuta katishpaka Yaku Piletata rikuyta ushakrinki, ñakutin kullasuyuman katishpaka, Museo Permanente ukuman yaykuyta ushakrinki. Kay hatun wasitaka, waranka iskun patsak pichka chunka sukta shinallata waranka iskun patsak sukta chunka watakunapimi mushukyachiskakuna. Camilo Ponce Enríquez ñawpaman pushak kak pachapi.","Vous êtes sur le point d'entrer dans la cour principale. Devant, vous trouverez des marches qui vous conduiront à rendre hommage au drapeau. Dans l'aile nord, vous pourrez explorer la fontaine, et dans l'aile sud, vous pourrez accéder au Musée permanent. Le bâtiment, tel que vous le voyez aujourd'hui, a été rénové entre 1956 et 1960 sous le gouvernement de Camilo Ponce Enríquez.","You are about to enter the main courtyard. In front, you will find steps that will lead you to pay homage to the flag. In the north wing, you can explore the fountain, and in the south wing, you can access the Permanent Museum. The building, as you see it now, was remodeled between 1956 and 1960 during the government of Camilo Ponce Enríquez"
D004,4,"Has llegado hasta aquí, uno de los puntos más importantes de este palacio y de este tour virtual. Para continuar debes hacer una reverencia al Pabellón Nacional. Mira al frente tuyo y dirígete hacia la señal de la bandera.
","Kaykaman chayashkanki, Katy kapakapuk wasipi rikushpaka, ninan mutsurishka kuskaman shinallata kay Tour virtual puriykunapi chayashkanki. katinkapaka Pabellón Nacional unanchata sumaychaytami paktachina kanki. Kikimpa chimpapuraman rikuy, chay kipaka Wipala unanchaman ripay.
","Vous êtes arrivé à ce point, l'un des points les plus importants de ce palais et de cette visite virtuelle. Pour continuer, vous devez vous incliner devant le drapeau national. Regardez devant vous et dirigez-vous vers le drapeau. ","You have reached this point, one of the most important parts of the palace and of this virtual tour. To continue, you must bow to the National Flag. Look in front of you and head toward the flag.
"
D005,5,"En 1960, cuando se reconstruyó este Palacio, se encargó a Oswaldo Guayasamín, uno de los pintores y artistas plásticos más importantes del Ecuador en el siglo XX, la creación de un mural que pueda ser visualizado tanto desde el primer piso como desde el segundo, generando así una experiencia única en Carondelet. Acércate al punto interactivo para que conozcas más sobre esta gran obra.","Kay hatun kapakapuk wasita mushukyachishkapika, mural pirkapi tullpuchunka, Oswaldo Guayasamín tullpuktami wiñachichun minkashkakuna, payka Ecuador mamallaktapika, kay ishkay chunka patsakyarishka watapi rikushpaka, ninan riksirihskami kashka. Kallari ukumanta, kati ukumantapash Mural tullpushka rikurichunmi wiñachishka. Interactivo iñuman kimiripay, chaypika kay hatun llamkaymanta ashtawan riksita ushanki.","En 1960, lors de la reconstruction de ce palais, Oswaldo Guayasamín, l'un des peintres et artistes visuels les plus importants de l'Équateur du XXe siècle, a été chargé de créer une fresque murale visible depuis le premier et le deuxième étage. Créant ainsi une expérience unique à Carondelet. Visitez le point interactif pour en savoir plus sur cette grande œuvre.","In 1960, when this palace was rebuilt, Oswaldo Guayasamín, one of Ecuador's most important painters and visual artists of the 20th century, was commissioned to create a mural that can be viewed from both, the first and second floors. Thus creating a unique experience in Carondelet. Visit the interactive point to learn more about this great work."
D006,6," ¡Muy bien! Hemos llegado al segundo piso, ahora podrás seguir navegando por la historia de este lugar. Aquí encontrarás el acceso al despacho presidencial, el salón de gabinete, el salón de presidentes, el salón de banquetes, el oratorio y la terraza. Utiliza los pasillos y mira las señales que te indican dónde están los accesos a los espacios. ¡Sigamos, tenemos mucho que ver!
","Kati ishkay niki hawaman chayashkanchik.
Kaypika Kapakapukpa despacho ukupa yaykunatami tarita ushanki; gabinete hatun ukuta, Apukkunapa hatun ukuta, sumak mikuykunapa hatun ukuta, rimarinkapak ukuta shinallata kanllaman shayarina kuskatapash tarita ushanki. Pasillo ñankunata puriypay chay kipaka señales killkakunata rikuy, chaypika maypi kuskakuna sakirin nishpami riksichinkuna.","Très bien ! Nous avons atteint le deuxième étage et vous pouvez maintenant continuer à explorer l'histoire de ce lieu. Vous trouverez ici l'accès au bureau présidentiel, la salle du cabinet, le sallon des présidents, la salle de banquet, l'oratoire et la terrasse. Utilisez les couloirs et regardez les panneaux indiquant les points d'accès aux espaces. Continuons, nous avons beaucoup à voir !","Very well! We've reached the second floor, and you can now continue exploring the history of this place. Here you'll find access to the presidential office, the cabinet room, the president's room, the banquet hall, the oratory, and the terrace. Use the hallways and look for the signs indicating the access points to the spaces. Let's continue, we have a lot to see!"
D007,7,"Bienvenido al Despacho Presidencial, la oficina más importante del país. Cuando el presidente despacha en este lugar, los Granaderos de Tarqui custodian el ingreso. Aquí podrás explorar pinturas y esculturas de personajes ilustres que inspiran y guían a quienes dirigen las riendas de este país. Acércate y conoce más.
","Apukpa Despacho ukuman Alli shamushka kapay. Apuk kay ukupi llamkakukpika, Granaderos de Tarqui awkakunaka, kay ukupa yaykunatami rikuriyanakunkuna. Kaypika personajes ilustres tullpukunata shinallata llakllakamanakunatapash rikuyta ushanki, paykunaka Apukkunata, mamallaktapa sumak ñanta rikuchinkuna.","Bienvenue au bureau présidentiel, le bureau le plus important du pays. Lorsque le président est en fonction ici, les Grenadiers Tarqui gardent l'entrée. Ici, vous pourrez découvrir des peintures et des sculptures de personnages illustres qui inspirent et guident ceux qui tiennent les rênes de ce pays. Rapprochez-vous et apprenez-en davantage.","Welcome to the Presidential Office, the most important office in the country. When the president holds office here, the Tarqui Grenadiers guard the entrance. Here you can explore paintings and sculptures of illustrious figures who inspire and guide those who hold the reins of this country. Come closer and learn more."
D008,8," Este es el Salón de Sesiones del Gabinete ministerial. El lugar donde el presidente se reúne con sus ministros, secretarios y asesores. Explóralo para que puedas entender cómo se distribuyen las autoridades cuando sesionan en este salón y para que conozcas más sobre los detalles que lo componen. Interactúa con todos los elementos y, si deseas, puedes regresar al pasillo y dirigirte a otro salón.","Kaymi kan Gabinete Ministerial Tantanakuna uku. Kaypimi Ñawpaman pushakka Ministros, Secretarios shinallata Asesores yanapak tayta mamakunata tantachin. Riksipay, ashtawan hamuktashpa katinki, imashina Autoridades tayta mamakunata tiyarichin kay hatun ukupi tantanakunkapak.
Kikin munashpaka Pasillo ñanman tikrayta ushanki shinallata shuk salón ukuman rita ushanki."," Il s’agit de la salle de séance du Cabinet. C'est ici que le président rencontre ses ministres, secrétaires et conseillers. Explorez-le pour comprendre comment les autorités sont réparties lorsqu'elles tiennent des séances dans cette salle et pour en savoir plus sur ses détails. Interagissez avec tous les éléments et, si vous le souhaitez, vous pouvez retourner dans le couloir et aller dans une autre pièce.","This is the Cabinet Session Room. This is the place where the president meets with his ministers, secretaries, and advisors. Explore it to understand how the authorities are distributed when they have sessions in this room and to learn more about its details. Interact with all the elements and, if you wish, you can return to the hallway and go to another room."
D009,9,". Un nuevo espacio para explorar. Este es el famoso Salón de los Presidentes, fue inaugurado en 1960 y se le conoce como Salón Amarillo por el tapiz francés que recubre sus paredes. Aquí se realizan eventos protocolarios como posesiones de ministros o firmas de decretos y se exponen los retratos de los Presidentes del Ecuador. Busca el ícono para visualizarlos.
","Kaymi kan, Apukkunapa hatun riksirishka uku, waranka iskun patsak sukta chunka watapimi kallariy rurayta paktachishkakuna shinallata Killu hatun uku nishpapash riksinkuna ashtawampacha Francia mamallaktamanta awaskata, pirkakunapi churashkamanta. Kay ukupika protocolarios ruraykunatami paktachinkuna shinallata Ecuador mamallaktapa apukkunapa shuyukunatapash tantachin. Shuyuta maskashpa rikuyta ushanki.","Un nouvel espace à explorer. C'est le célèbre Hall des Présidents. Il a été inauguré en 1960 et est connu sous le nom de Salle Dorée en raison de la tapisserie française qui recouvre ses murs. Des événements protocolaires tels que les investitures de ministres ou la signature de décrets y sont organisés, et il abrite les portraits des présidents équatoriens. Recherchez l’icône pour les visualiser.","A new space to explore. This is the famous Hall of Presidents. It was inaugurated in 1960 and is known as the Golden Hall because of the French tapestry that covers its walls. Formal events such as the inaugurations of ministers or the signing of decrees are held here, and it shows the portraits of Ecuador's Presidents. Look for the icon to view them."
