Key,id,Spanish(es),Spanish (Ecuador)(es-EC),French(fr),English(en)
U001,1,Recorre el palacio,Ñawpakuna wasi purina,Explorez le palais,Explore the palace
U002,2,Créditos,Kullki,Crédits,Credits
U003,3,Idioma,Shimi,Langue,Language
U004,4,Entrar,Yaykuna,Entrer,Enter
U005,5,Regresar,Tikramuna,Retour,Back
U006,6,Palacio de Carondelet,Carondelet wasi,Palais de Carondelet,Carondelet Palace
U007,7,Tour virtual,Ñawpakuna purina,Visite virtuelle,Virtual tour
U008,8,Exterior del palacio,Wasi llukshina,Extérieur du palais,Palace exterior
U009,9,Puntos de interes,Kawsay rikuna punkukunata,Points d'intérêt,Points of interest
U010,10,"Presiona ""Tab"" para alternar al modo de control accesible","""Tab"" ñitina, alli apaykuna kamachina ruraykuna","Appuyez sur ""Tab"" pour passer en mode de contrôle accessible","Press ""Tab"" to switch to accessible control mode"
U011,11,Usa el teclado numérico para controlar la experiencia,Yupaykuna killkana apaykuna kawsaykuna kamachina,Utilisez le pavé numérique pour contrôler l'expérience,Use the numeric keypad to control the experience
U012,12,Historia,Kawsay yachay,Histoire,History
U013,13,Fachada (frontal),Ñawpa chimpa,Façade avant,Front façade
U014,14,Piedra Andesita,Andesita rumi,Pierre andésite,Andesite stone
U015,15,Covachas,Kuchuna wasi,Covachas,Covachas
U016,16,Presiona,Ñitina,Appuyez,Press
U017,17,para saber más,Yachaykuna chaymanta,pour en savoir plus,to learn more
U018,18,Créditos,Kullki,Crédits,Credits
U019,19,,,,
U020,20,,,,
U021,21,"Usa W, A, S, D y el mouse para moverte por el palacio","W, A, S, D killkakunata, ukata apaykuna wasi purina","Utilisez W, A, S, D et la souris pour vous déplacer dans le palais","Use W, A, S, D and the mouse to move around the palace"
U022,22,Usa los joysticks virtuales para moverte por el palacio,Virtual joystickkunata apaykuna wasi purina,Utilisez les joysticks virtuels pour vous déplacer dans le palais,Use the virtual joysticks to move around the palace
